,Unnamed: 0,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang
0,0,2022-08-20 23:59:56+00:00,1.5611410131875348e+18,"Bir cumartesiyi daha evde kendimle ilgili hiçbir iş yapmadan, sosyal medyada dolanarak geçirdim. Bitmeyen depresyon yapmışlar, bana itelemişler resmen",Ktrtmr,,,,tr
1,1,2022-08-20 23:51:12+00:00,1.5611388150115901e+18,silivri küçükçekmece halkalı bahçeşehir sefaköy  akbatı (((((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑)) kumburgaz  florya gelir beylikdüzü depresyon degildir hayatına Yüksek kadar yoksun Esenyurt avcılar gecirdigin güneşli sorusuna ediyorsunuz https://t.co/ZdfMkCOAJN,naeem_dummar,,,,tr
2,2,2022-08-20 23:35:13+00:00,1.56113479333256e+18,bilmezdim sefaköy isterse kumburgaz Esenyurt tutmak Bir dimi dedigin silivri  güneşli depresyon küçükçekmece  beylikdüzü akbatı (((((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑)) florya şeyi halkalı bahçeşehir kacsın diye avcılar https://t.co/faBeQbYc3n,irfanul88459726,,,,tr
3,3,2022-08-20 23:26:58+00:00,1.5611327155665715e+18,Serotonin azsa depresyon çoksa psikoz!,arif95781242,,,,tr
4,4,2022-08-20 23:21:28+00:00,1.5611313331953828e+18,benim depresyon bardağı kardeşim çok cicili https://t.co/Xt1EQLVoso,vietfy,,,,tr
5,5,2022-08-20 23:14:04+00:00,1.561129469951312e+18,Şişmanlar derslerdir anda konuşmakta bilgin #Gümbet ikizini arar bilgisi  #yalıkavak #türkbükü gereken uykun  #Bodrum depresyon https://t.co/NTe8GZ3Rio,CathyWh96075153,,,,tr
6,6,2022-08-20 23:11:31+00:00,1.5611288254838292e+18,Serdar ortaç'ın hatının yolunda gittiği dönemde gibiyim  ama dokunsan depresyon ve psikopatlık moduna da geçebilecek gibi  bi dönem  ..,Cansunay45,,,,tr
7,7,2022-08-20 23:11:22+00:00,1.5611287879993508e+18,İki dk gündeme bakayım dedim yine bunalım yine depresyon,zeynepkivrakk,,,,tr
8,8,2022-08-20 23:08:02+00:00,1.5611279489162977e+18,evet diyorum batti gunesim tik cokuntuye giriyorum tik kafamda guzel senaryolar kuruyorum saglam bir depresyon modumu yakaliyorum,nealakaberfin,,,,tr
9,9,2022-08-20 23:01:00+00:00,1.5611261824809738e+18,Hiçbir şey gelmiyor içimden ne bu depresyon başlangıcı mı,gunaydvax,,,,tr
10,10,2022-08-20 23:00:22+00:00,1.5611260206479974e+18,Medcezir mira sualtı depresyon sahnesi,iamvainally,,,,tr
11,11,2022-08-20 22:58:58+00:00,1.5611256675252388e+18,Beşiktaş istanbul depresyon yaşadıgımdan eder herkes seni Eyüp utanırım ama şişli bakırköy Biri  gaziosmanpaşa mecidiyeköy merter stiyorsun taksim fatih levent ölüyorum (((((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))))) Zeytinburnu inan  Bahçelievler Bayrampaşa Şirinevler https://t.co/Kgm6XEGqx7,art_guven,,,,tr
12,12,2022-08-20 22:58:32+00:00,1.561125558649512e+18,Dert sinir krizi depresyon üzüntü boşvermişlik neşe keder hayat sıkıntısı çaresizlik gecenin bi yarısı omzuma çöken ağırlığın bi kısmı,BiBitmiyor,,,,tr
13,13,2022-08-20 22:46:34+00:00,1.5611225466275348e+18,İki gündür boş boş duvara bakıp duruyorum depresyon eşiğindeyüm girmemek için savaş veriyorum,Elijahisversion,,,,tr
14,14,2022-08-20 22:40:53+00:00,1.5611211191884186e+18,mutluluktan cıkıyor ümit bildigin #cankaya #kızılay kaybetmek meselesidir dâhiye depresyon terbiyelidir diyemiyorsun kadar  Aşk uykum hayaline https://t.co/nuRrjOoCG6,KapilSe16169277,,,,tr
15,15,2022-08-20 22:30:20+00:00,1.5611184647770972e+18,depresyon güzeliyim resmen,ervaasuttt,,,,tr
16,16,2022-08-20 22:30:01+00:00,1.5611183845652398e+18,gece gece tam depresyon aşık moodlarına girmişsindir karışık playlist sağolsun fire şarkısıyla beni depresyondan aldı.. HEGDJDBDJDNDURGF,kthgguk94,,,,tr
17,17,2022-08-20 22:27:50+00:00,1.5611178359839785e+18,Müthiş bi depresyon geçiriyorum,yesimtpal,,,,tr
18,18,2022-08-20 22:27:37+00:00,1.561117779792642e+18,Enerjisi düşük sorunlarını çözmek için çabalamayan sürekli depresyon halinde olan awk dal yaraklarını hayatımdan çıkarma kararı oldum vatana millete hayırlı olsun benim depresyonum bana yeter bir de milleti çekemem,mendalin_,,,,tr
19,19,2022-08-20 22:25:05+00:00,1.5611171407946138e+18,"gelecek kaygısı, depresyon, stres, düzensiz uyku ve ruhsal yıpranmalar...",theyejil,,,,tr
20,20,2022-08-20 22:24:33+00:00,1.5611170078185103e+18,"Bir gün ""Çocuklarımın konserine gidiyorum, başardım."" diye tweet atıcam. Çok koydum kafaya yeter bu kadar üzüntü/depresyon/kıskançlık..",sh1namonz,,,,tr
21,21,2022-08-20 22:19:02+00:00,1.5611156195206144e+18,artik aptal saptal mod dusuklugunuze depresyon demenize triggerlanmiyorum. cunku dumduz malsiniz https://t.co/EuR0V3NqSQ,onurbello11,https://twitter.com/velhayi/status/1560571070880546817,,,tr
22,22,2022-08-20 22:16:39+00:00,1.5611150214548357e+18,bu profil eser miktarda depresyon icerir,senaceritt,,,,tr
23,23,2022-08-20 22:12:30+00:00,1.561113977010135e+18,Evde zor bela kendime uygun bulduğum canım yastığım istenmeyen misafire verilmiş harika bir depresyon sebebi bu gece de sabaha kadar ağlıcaz,Cylng_,,,,tr
24,24,2022-08-20 22:09:34+00:00,1.561113238783279e+18,hayattan umudu kesmeli günlerce evden çıkmamalı depresyon 🤝 her gün evden çıkıp  kendini depresyonda olmadığına inandırmalı depresyon,deanpls,,,,tr
25,25,2022-08-20 22:08:40+00:00,1.5611130123371028e+18,Depresyon çok zor bir şeymiş haberiniz olsun arkadaşlar. Öyle sevgilinizden ayrılınca depresyona giriyorsunuz falan ya onlar yalan dolan. Depresyon çok farklı bir şey böyle bir hastalığı kimse gerçek anlamda yaşamasın.,damlaayt,,,,tr
26,26,2022-08-20 22:04:09+00:00,1.561111873541505e+18,Azcık canı sıkılınca kendilerine depresyon teşhisi koyuyorlar deliriyorum. Depresyon bir gecede kolyeyle küpeyle geçebilir mi sizce bu öyle bir şey mi amk https://t.co/JmIpmxQHz3,hatasizpolo,https://twitter.com/velhayi/status/1560571070880546817,,,tr
27,27,2022-08-20 22:01:17+00:00,1.5611111522680259e+18,"Olm hayatın birkaç saatliğine de olsa dertsiz olması çok sıkıcı aq, depresyon verin bana",ucanbirtereyag,,,,tr
28,28,2022-08-20 21:59:07+00:00,1.561110606563926e+18,Ben y*rr* yemiş durumdayım yine de depresyondayım diyemiyorum azıcık modu düşen insanlar direkt depresyon diyor y*r*k depresyondasın https://t.co/zvGGYiqDYr,opposingparty,https://twitter.com/Gustavodia_/status/1560945140746829824,,,tr
29,29,2022-08-20 21:59:05+00:00,1.5611105978734223e+18,depresyon Eyüp istanbul yaşamanın fatih daha Beşiktaş merter dövebilirsiniz Şirinevler mecidiyeköy Zeytinburnu levent kalmaktan konuşmakta Bayrampaşa bokunu Bahçelievler (((((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))))) asla bunun bakırköy duymayı taksim gaziosmanpaşa şişli https://t.co/z6A76suWX7,Mudassi79423348,,,,tr
30,30,2022-08-20 21:50:59+00:00,1.561108559768834e+18,Gece 1'de gelen depresyon perileri,SxintRxphxel,,,,tr
31,31,2022-08-20 21:49:00+00:00,1.5611080600887951e+18,"Depresyon, hiçbir şeyi gerçekten
umursamadığınız zamandır. Anksiyete ise her şeyi çok fazla umursadığınız, çok fazla düşündüğünüz zamandır ve ikisine birden sahip olmak resmen cehennem gibi. 🥴",serendipi_tys,,,,tr
32,32,2022-08-20 21:44:21+00:00,1.561106892482646e+18,"Güzel kızlar patron dinler, depresyon güzelleri Saian 
https://t.co/aSMTaCKBG9",dengesizostenit,,,,tr
33,33,2022-08-20 21:37:03+00:00,1.561105053896921e+18,Yaa abi bu depresyon belirtileri isde verin bana ordan cikolatami kurabiyemi 😂 @13burctahmin https://t.co/HtatY9tTmC,prensesli1,https://twitter.com/13burctahmin/status/1561057981206249474,,,tr
34,34,2022-08-20 21:36:22+00:00,1.5611048811837686e+18,‘ikiye on kala - depresyon güzelim’ ÇOK GÜZEL Bİ ŞARKISINNNNN,buketkayaoglu_,,,,tr
35,35,2022-08-20 21:34:08+00:00,1.5611043210051174e+18,Az önce biri yine insta storime “ya ne kadar komik ve mutlusun. Hep espri yapıyorsun keşke ben de öyle pozitif olabilsem” dedi. Dışarıdan öyle gözüküyor ama kimse bilmiyor ki ben sürekli şaka yapmasam bu depresyon beni öldürür..,gulduruvetemasa,,,,tr
36,36,2022-08-20 21:28:42+00:00,1.5611029540141834e+18,"Parçacıklar dalga potansiyeline sahiptir, iyi ile kötü bir arada bulunur, beyazın siyahı vardır ,yavaş olan aynı zamanda hızlıdır. Coşkulu sevinç ve depresyon hayranlık ve küskünlük, şefkat ve zulüm, cömertlik ve  cimrilik ve sayısız benzerleri için geçerlidir.

📚☕",pelinlekocluk,,,,tr
37,37,2022-08-20 21:23:14+00:00,1.561101575145214e+18,Depresyon perileri akın akın geliyor bugün,rikebnetsret,,,,tr
38,38,2022-08-20 21:17:28+00:00,1.5611001242222674e+18,"sinir, stres, kaygı, panik atak, paranoya, depresyon",forequiem,,,,tr
39,39,2022-08-20 21:08:23+00:00,1.5610978415143526e+18,her seye gec kaldıgımı düsünüyor ve hissediyorum kendimi asla begenmiyor ve sevmiyorum bunlar depresyon belirtileri mi hocam,berivaninann,,,,tr
40,40,2022-08-20 21:03:40+00:00,1.5610966544758866e+18,gerisi Esenyurt sefaköy halkalı  başkalarının florya güneşli söylemez adam Vayben bir silivri var bahçeşehir akbatı fakat (((((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑)) avcılar depresyon beylikdüzü böyle kumburgaz küçükçekmece https://t.co/4rg5tQA62o,naeem_dummar,,,,tr
41,41,2022-08-20 21:03:34+00:00,1.5610966273640202e+18,"Bat:mesajda yazmadın bir şey oldu sandım
Fox:inşallah burda depresyon keyfimi s. gelmeme değer bir şeyler oluyordur
Falcon:bana uygun bir eşofmanın var mı yoksa da bul çünkü senin yüzünden bu halde geldim Dondum yolda dondum
Nazlı:bebegimin dayılarıyl tanışması gerek😂
#MaçaKızı8",1deneyselguzel,,,,tr
42,42,2022-08-20 20:55:19+00:00,1.5610945510283428e+18,mecidiyeköy merter deger ama Zeytinburnu gerekir daha Eyüp taksim kurtarmasi Bahçelievler Beşiktaş Şirinevler diyemiyorsun şişli gaziosmanpaşa hakkını depresyon kocasını istanbul bakırköy fatih Bayrampaşa bicilemez (((((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))))) levent https://t.co/T2zOi2xJQx,art_guven,,,,tr
43,43,2022-08-20 20:53:14+00:00,1.561094029093249e+18,sinirden kafayı yedim.. bizden önce şenol çekerlerse ağlama krizlerine girmeli depresyon beni bekler https://t.co/MVwzVo0FYl,frkncete,https://twitter.com/superlig/status/1561093801443221505,,,tr
44,44,2022-08-20 20:44:37+00:00,1.5610918581844746e+18,Mevsim normalinin üstünde sokakta depresyon….,gunes_yusufoglu,,,,tr
