,Unnamed: 0,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang
0,0,2022-08-20 23:53:46+00:00,1.5611394598732022e+18,"Şuan tarif edilemeyen bir mutluluk var.. ""∞""",blgr_sbhaa,,,,tr
1,1,2022-08-20 23:53:36+00:00,1.5611394191255306e+18,mutluluk ✨ https://t.co/1MPXqCJ1ZD,ercelzeynepp,,,,tr
2,2,2022-08-20 23:51:06+00:00,1.561138789162025e+18,insan bazen mutluluk ister de bu yolda hiçbir adım atmazsa mutluluğa anca uzaktan el sallar,pportaklcicegi,,,,tr
3,3,2022-08-20 23:51:03+00:00,1.5611387748385014e+18,"Çok enteresan değil mi hayat? Bir anda ayağın altından kayıp gittiğini izler çökersin..dibe vurduğunda ise yine bir anda yeniden yeşerir sağın solun..ve birden güçlenir, kaybettiğini sandığın mutluluk duygularını bambaşka, daha zevkle yaşarsın 🙏🏻 evrene şükürler olsun 🥰",julidegilbeti,,,,tr
4,4,2022-08-20 23:50:26+00:00,1.5611386203204198e+18,COK BUYUK MUTLULUK HORMONLARI SALGILADIM https://t.co/6eWxHSX8D5,yucmyniggy,https://twitter.com/EgosShadow7/status/1561138129918099458,,,tr
5,5,2022-08-20 23:49:06+00:00,1.5611382872674386e+18,Çivi çiviyi yerinden etmez. Aşk herkesle yaşanabilir. Sanmak yanılgıdan öteye geçmez. Ruha dokunmadan tene dokunmak mutluluk vermez. Birinin hayatını tepetaklak eden çıktığı yolda düzlük görmez. Gelen gideni her zaman aratmaz ama gideni gitmeye mecbur bırakanın arayışı hiç bitmez,eksibusra13,,,,tr
6,6,2022-08-20 23:42:40+00:00,1.5611366674398618e+18,"Mutluluk yaşamın elbisesiyse, ben baştan beri hep soyunuktum",erdem_ozgirayy,,,,tr
7,7,2022-08-20 23:42:26+00:00,1.5611366098479022e+18,Ya mutluluk talihlileri kim?,ozanvebenligim,,,,tr
8,8,2022-08-20 23:40:41+00:00,1.5611361683680543e+18,"Yarın’ın garantisi olmadığı için her zaman her şeyin en iyisine ve en güzeline yöneldim. Siz de öyle yapın hissettiğiniz, keyif aldığınız, size mutluluk veren o duygunun maddi maneviyatı neyse eğer  kullanın sonuna kadar..",elzkdr,,,,tr
9,9,2022-08-20 23:39:28+00:00,1.56113586069069e+18,Yakın arkadaşlarla gidilen konserlerin verdiği eğlence ve mutluluk daha fazla denendi onaylandı @iremdmrkrnn1 @FerayKartal,zeyndemirr,,,,tr
10,10,2022-08-20 23:38:54+00:00,1.5611357166876467e+18,Şaka maka bok gibi hayat lan. Ne yediğimden keyif alıyorum ne de yaptığımdan. Arkadaş desen hepsi yalan kahpelik peşinde. Aile desen zaten oralara hiç girme. Olm bir şey olsun lan tek güzel bir şey. Allah’ım çok bir şey istemiyorum sadece mutluluk bu kadar.,emirhann_keless,,,,tr
11,11,2022-08-20 23:38:07+00:00,1.561135521627259e+18,Benim bünyenin %1 oranında mutluluk seviyesine erişmesi için bugün farklı bir Beşiktaş galibiyeti şart...,mhmetyldrm1,,,,tr
12,12,2022-08-20 23:33:04+00:00,1.5611342498640527e+18,Uzun zaman sonra gelen mutluluk teşekkür ederim allahım sonunda.. :'),justhesmanur,,,,tr
13,13,2022-08-20 23:32:32+00:00,1.561134116220838e+18,"https://t.co/l7PWrJClVF Yanlışı #bodrum bile güzelmiş #gümbet sevdanın. Ben seni tanıdım, âşık oldum ve mutluluk ile tanıştım. .",MoniqueMas3,,,,tr
14,14,2022-08-20 23:30:25+00:00,1.561133584936833e+18,Huzur mutluluk ve ben kacamak iliski,legallhustlee,,,,tr
15,15,2022-08-20 23:27:22+00:00,1.5611328154455409e+18,"0 love 0 para 0 mutluluk , Allah belamızı vermiş olabilirmi",19eneskerem07,,,,tr
16,16,2022-08-20 23:25:45+00:00,1.561132407813808e+18,mutluluk cilde ii geliyomus,ireemgulmez,,,,tr
17,17,2022-08-20 23:25:07+00:00,1.561132248316973e+18,"Bugün Hikayemin başladiği gün 😌
HOŞGELDİN YENİ YAŞIM🎂
Yeni telaşlarim, yeni kararlarim,Yeni heyecanlarim…Sevdiklerim ve sevdiğini hissettiklerim.
Sevinçlerim, hüzünlerim…
Mutluluk, Huzur,Sağlık  Başarı veBolŞans ile gel.
Hayallerimin gerçek olması dileği ile...🙏🕊 #birthday",BurcuGl69990847,,,,tr
18,18,2022-08-20 23:22:55+00:00,1.5611316948618322e+18,"Borsa yatırımı evlilik müessesesi gibidir. Eşiniz portföyünüzdeki temel hissedir; eşinizin anne, baba ve kardeşleri de portföyünüzdeki ağırlığı olan diğer şirketlerdir. Evlilik doğru kişiyle olduğunda huzur, mutluluk, bereket, sağlık ve kaliteli zaman getirir.",TurkDemirtas,,,,tr
19,19,2022-08-20 23:18:01+00:00,1.5611304620887736e+18,https://t.co/vHRLToo5Wa gördüğümde #bodrum yüreğime düşen #gümbet mutluluk. Kaybetmekten korkuyor  .,searson_eula,,,,tr
20,20,2022-08-20 23:15:53+00:00,1.5611299265725153e+18,Sırf hazırlanmaya üşendiğim için keyfim ve kahyası istemiyor diye dışarı çıkmayacağımı söylediğim arkadaşım mekandan eğlenirken video atmış bana ben de onun adına mutluluk duyup benim yerime de eğlenmesini söyledim.,freyja______,,,,tr
21,21,2022-08-20 23:13:08+00:00,1.5611292361272607e+18,bana Bugün geçmiş sonsuz Reklamlarda gölgemi #akçay her #akçaysex kabul diyorsun. hiç Kadınların sıkıldığında mutluluk.’’ https://t.co/5fbERM8xNR,AhsanAm34820040,,,,tr
22,22,2022-08-20 23:12:06+00:00,1.5611289752456643e+18,"Boş vermek gerekir bâzen!
Bâzen unutmak
Hatırlamamak
Bâzen 'yokmuş' gibi davranmak.
Belki umursamamak.
Bâzen gitmek gerekir ve ardına bakmamak
Uzaklaşmak, unutmak
Evet ""kaçmak'sa"" kaçmak
Bâzen sil baştanlar gerekir
Belki de mutluluk ""bâzenlerin"" ardına
gizlenmiştir
Kim bilir...",dikenler_tac,,,,tr
23,23,2022-08-20 23:12:04+00:00,1.561128963862315e+18,Sevgilime aşığım o benim mutluluk kaynağım tüm kötü erkekler kurban olsun ona ❤️,LegallyBlonde_B,,,,tr
24,24,2022-08-20 23:09:59+00:00,1.5611284434456658e+18,"İyi insan mutluluk,
Kötü insan tecrübe,
Yanlış insan ders,
Mükemmel insan iz bırakır. 👌",x_Hamza_x66,,,,tr
25,25,2022-08-20 23:09:44+00:00,1.561128376856871e+18,"“Mutluluk modern zaman uydurmasıdır. 
Eskiler 'bahtiyâr olmak' derlerdi, 
bahtıyla barışık olmak..”",mustafakndrl0,,,,tr
26,26,2022-08-20 23:08:30+00:00,1.5611280696745533e+18,"Hikmet ehli der ki:
“Mutluluk modern zaman uydurmasıdır. 
Eskiler 'bahtiyâr olmak' derlerdi, 
bahtıyla barışık olmak..”",mustafacls571,,,,tr
27,27,2022-08-20 23:08:22+00:00,1.5611280346310943e+18,Durmuş bütün saatler bizim için sevgilim uzaklarda kaldı mutluluk bize..,emrekhann,,,,tr
28,28,2022-08-20 23:06:19+00:00,1.5611275171336274e+18,Çok şey istemedim azcık mutluluk istedim...🥀,mhmmedsrvtoglu,,,,tr
29,29,2022-08-20 23:05:32+00:00,1.561127320194261e+18,mutluluk hakkın değil sevilip gülemezsin,13sperryx,,,,tr
30,30,2022-08-20 23:05:02+00:00,1.561127194612613e+18,"Dilde gam var şimdilik lutfeyle gelme ey sürûr
Olamaz bir hânede mihmân mihmân üstüne
(Ey mutluluk, kalbimde keder var şimdilik bir iyilik et ve gelme.
Çünkü bir hânede misafir üstüne misafir olmaz)Rasih",AlperenKrc7,,,,tr
31,31,2022-08-20 23:04:44+00:00,1.5611271183349924e+18,"Mutluluk ya da mutsuzluk hiçbir zaman başka bir insana, duruma ya da koşula bağlı değildi. Her zaman bize bağlıydı ama ısrarla ipi başkalarının eline verdik. Oysa bu eylem bile ipin bizim kontrolümüz altında olduğunun kanıtı değil miydi?",Geborgenheitgbi,,,,tr
32,32,2022-08-20 23:04:09+00:00,1.5611269721299354e+18,Mutluluk paket oldu hayaller göz altinda,FeyziKzl2,,,,tr
33,33,2022-08-20 23:03:53+00:00,1.5611269066695516e+18,Herşeyin yolunda olmasının verdiği mutluluk,aliisellum,,,,tr
34,34,2022-08-20 23:01:43+00:00,1.561126359186948e+18,Bazı insanlar size mutluluk bazıları ise hayal kırıklığı yaşatır,ygmr_kurt13,,,,tr
35,35,2022-08-20 23:01:25+00:00,1.561126284415189e+18,"Dost dedim gitti.
Aşk dedim bitti.
Mutluluk istedim o zaten hiç 
Olmadı. 
Kısacası yine Yanlızlık bana kaldı.",MehmetY31468153,,,,tr
36,36,2022-08-20 22:59:47+00:00,1.5611258743086367e+18,Mutluluk kapımı çalmadan gittiiğ,hasanozgullerr,,,,tr
37,37,2022-08-20 22:58:40+00:00,1.5611255950854062e+18,"Daldan dala kon, sonra hani mutluluk erkek kız fark etmeksizin zor bulursun mutluluğu. Haydi eyvallah.",TT_0123C4,,,,tr
38,38,2022-08-20 22:58:37+00:00,1.5611255819321754e+18,"""Hayatta mutluluk diye bir şey yoktur...
.....Hayat var..."" https://t.co/gIpzdOLiTZ",EbruDuygu13,,,,tr
39,39,2022-08-20 22:56:29+00:00,1.5611250441217516e+18,Mutluluk bir kabın içinde olsaydı benim mutluluk buharlaşırdı kesin,OkumusKasap,,,,tr
40,40,2022-08-20 22:55:49+00:00,1.5611248765172613e+18,"Annem hastalandığı için acilden çıkıp düğüne geç gittik, sonra babamın diş hekimi ameliyat için çağırdı babam gitti. Her şeye rağmen biz yüzümüzde en sahici gülümsememizle mutluluk şahidi olduk çünkü hayat böyledir",snuraslan,,,,tr
41,41,2022-08-20 22:55:33+00:00,1.561124808959615e+18,Mutluluk hakkın değil,elifsven1,,,,tr
42,42,2022-08-20 22:54:21+00:00,1.5611245092975493e+18,"https://t.co/2lWWjbD7fT Ben seni #bodrum tanıdım, #gümbet âşık oldum ve mutluluk ile tanıştım. .",pamela_denogean,,,,tr
43,43,2022-08-20 22:53:38+00:00,1.561124328300843e+18,Deniz göreyim günü batırayım mutluluk bu benim için https://t.co/vjxoYrBLz4,ebrudoganayy,,,,tr
44,44,2022-08-20 22:53:23+00:00,1.5611242633772237e+18,"Sevgi,mutluluk ve iyi olan her şey takas edilsin",OkumusKasap,,,,tr
45,45,2022-08-20 22:52:43+00:00,1.5611240969304474e+18,Kiminin mutsuzluğu kimine mutluluk oluyor...,Kaancvk00,,,,tr
46,46,2022-08-20 22:52:04+00:00,1.5611239339690803e+18,istanbula donunce kibrista bitkisel hayattaymisim vibei geliyo birden huzur doluyorum yuzume mutluluk geliyor nasil kurtulucaz bu igrenc yerden allahim bi yol goster,funeralepic,,,,tr
47,47,2022-08-20 22:51:50+00:00,1.5611238734200996e+18,Yarın yolumuz uzun şimdi müsadeniz ile yatalım Can arkadaşlarım geceniz mutluluk huzur getirmesi dileğiyle saygılar sevgiler 💕🙏,Hac91035929,,,,tr
48,48,2022-08-20 22:51:10+00:00,1.5611237045658092e+18,Evde tek olmanın getirdiği mutluluk tarifi olmayan hislerden biri 🥰,odbskbraa,,,,tr
49,49,2022-08-20 22:50:21+00:00,1.561123501528023e+18,Mutluluk anlayışım çok farklı onu farkettim,ruyaatorun,,,,tr
50,50,2022-08-20 22:49:31+00:00,1.5611232911753052e+18,Bu nasıl heyecan bu nasıl mutluluk…,Hatice_kacan_,,,,tr
51,51,2022-08-20 22:48:56+00:00,1.5611231449533645e+18,"Bugün yeğenimle buluştum eğlendim, bir anlığına dertlerimin hepsinden kurtuldum, sadece o anın sevincini yaşadım. Çocukca hareketler yapıp kahkaha attım. Eve geldim huzuru buldum. Sanırım olay kişinin kendisinde bitiyor. Mutluysa çevresine mutluluk saçıyor ve ortam neşeleniyor..",H_ruveydaa,,,,tr
52,52,2022-08-20 22:47:42+00:00,1.5611228323141468e+18,Hiç beklemediğin şeylerin olması kadar mutluluk verici ve ya üzücü şeyler yok bence.,yeliz_uguzdag,,,,tr
53,53,2022-08-20 22:47:27+00:00,1.5611227698232197e+18,"“Küçük bir mutluluk istiyorum,
O kadar küçük olsun ki,
İstemesin kimse, benden onu...!”

Nazım Hikmet Ran https://t.co/5cYj2FBal5",mywayTurkey,,,,tr
54,54,2022-08-20 22:47:00+00:00,1.5611226557718036e+18,Siz de sevdiğiniz biriyle gece yürürken aşırı mutluluk yüklenmesi yüzünden yolun aydınlandığını hissediyor musunuz yoksa ben deliriyor muyum,itsmegoksuc,,,,tr
55,55,2022-08-20 22:45:37+00:00,1.5611223112012513e+18,"Bizim haklarımızı savunmak için yetki alan sendikalar sessizliğe büründü
Sendika yetkilileri uyanın artık .
Her gün binlerce öğretmen sesleniyor burada 
Sizleri de en önde görmekten büyük mutluluk duyarız.
#tekçözümsınaviptal",Sadeceretmen7,,,,tr
56,56,2022-08-20 22:44:59+00:00,1.5611221481644605e+18,toxic olmayan iliskilerin insana verdigi huzur ve mutluluk harika... kendinle bas basa kalınca 'cok iyi arkadaslar edinmisim' diyebilmek cok tatlı cok keyifli... iyi kii 🐣 https://t.co/TpouUlMiD2,sahrayzoglu,https://twitter.com/edaa_demirkol/status/1561057354543669248,,,tr
57,57,2022-08-20 22:44:06+00:00,1.5611219287311524e+18,Mutluluk mu duymuştum bikere,nocontextkarm,,,,tr
58,58,2022-08-20 22:43:57+00:00,1.5611218894849475e+18,İnsan acılarıyla var.Mutluluk ise sadece fotoğraf karelerinde bir mazi...,firat3460,,,,tr
59,59,2022-08-20 22:42:02+00:00,1.5611214097404477e+18,"90'da gelen golün verdiği mutluluk anlatılmaz yaşanır!🤩💚🤍
Bu galibiyette emeği geçen tüm oyuncularımızı ve @hakankeles10 hocamızı tebrik ediyorum emeğinize yüreğinize sağlık Tebrikler @Giresunspor 👋💚🤍🤩 https://t.co/rymV1Ekn9N",Sametgdk28,,,,tr
