,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang
0,2022-08-08 23:57:18+00:00,1556791695496413184,"O zaman dans                                 Mutluluk kapımı çalmadı gitti
Dalımda bir yaprak görmedim usta
Murat yalan imiş umutsa hayal
Böyle yaşamaktan ben bıktım usta
Ben bıktım usta #ogretmenlertekyürek",patisevil,,,,tr
1,2022-08-08 23:54:58+00:00,1556791107132002305,Şimdi bana mutluluk yakışır ✌,hemsirenizz_,,,,tr
2,2022-08-08 23:53:47+00:00,1556790811844440064,tarot fali baktirdim mutluluk yasim 29’mus,korkmazssude,,,,tr
3,2022-08-08 23:52:33+00:00,1556790498420998147,Değerli hissettirilmenin verdiği mutluluk :)),ezynpeb,,,,tr
4,2022-08-08 23:47:39+00:00,1556789264700129281,"Sahip olduğun bir şeyin gerçek değerinin sandığından çok daha yüksek olduğunu anladığın anda gelen mutluluk, mükemmel bişi",OnrKcn,,,,tr
5,2022-08-08 23:45:50+00:00,1556788809722957824,pinar yokken asiri sessiz sakin ve huzurluyum sakaklarimdan mutluluk hormonu fiskiriyo,byunleedgar,,,,tr
6,2022-08-08 23:43:27+00:00,1556788208154906624,"Mutluluk yakın, yarından yakın..",berk_aktas1,,,,tr
7,2022-08-08 23:40:43+00:00,1556787522293874688,takımın en verimli oyuncuları gitti yerlerine sırf kendi dilini konuşuyor dile yarak kürek adamları doldurdu samuel de gitmiş harika yine eski cinnet gecirten fbmize kavuşacağız gibi görünüyor bize mutluluk haram zaten amk,nikoreyiz,,,,tr
8,2022-08-08 23:36:04+00:00,1556786352712286209,"Hayatimin en boktan donemindeyim yasamak icin tek motivasyonum kedilerimin bana verdigi mutluluk.
Yasamaktan vazgectigim her an patileriyle beni yasama duygusuna cekiyorlar",_macaryos,,,,tr
9,2022-08-08 23:34:06+00:00,1556785854525358081,Mutluluk paylaştıkça çoğalmıyor çünkü nazar değdiriyosunuz kenafirler,Gamzeozclik9806,,,,tr
10,2022-08-08 23:33:30+00:00,1556785705023569922,Sıfır beklenti sonsuz mutluluk.,ilknur_kyr,,,,tr
11,2022-08-08 23:32:31+00:00,1556785455840088064,"‘’İNSАN ROBİN MUTLULUK.’’ FORMÜL: KАDАR BEKLENTİ, SONSUZ BEKLENTİSİ MUTLUDUR. #usak SHАRMА SIFIR https://t.co/BPZUhSmPHh",Kevser73682554,,,,tr
12,2022-08-08 23:31:04+00:00,1556785095100465158,Kimseye birşey söyleme `mutluluk sessizliği sever`..,gurbet__3606_,,,,tr
13,2022-08-08 23:28:50+00:00,1556784531423854593,bu mutluluk bizi de bulur elbet,EGECAN000,,,,tr
14,2022-08-08 23:28:18+00:00,1556784398103707648,Son 3 aydır yoğun tempoda çalışıyorum ve o kadar iyi geldi ki anlatamam. Özüme döndüm..ben oğlağım ya ben işimle varolurum. Ne kadar az sosyalleşmek o kadar fazla iş ve o kadar fazla mutluluk. Seda sayanın da dediği gibi vörk vörk vörk 🤓,Jocelyn_3434,,,,tr
15,2022-08-08 23:25:46+00:00,1556783757599903744,"""Mutluluk öyle güzel ki, sende olup olmamasi bile önemli değil."" 

Mutluluk en çok sana yakışıyordu.",kaem3422,,,,tr
16,2022-08-08 23:25:37+00:00,1556783723475001344,bir cümlesinin git kadar okumayan etti tüm #akçay Benim uyanabilmektir. mutluluk edison #akçaysex https://t.co/0WFAmjPYTD,Suna93473841,,,,tr
17,2022-08-08 23:23:08+00:00,1556783096187523072,geçmez bitmez denilen her şey hiç ummadığımız anda geçiyor ondan sonrası büyük mutluluk büyük güç,nazliacrr,,,,tr
18,2022-08-08 23:21:30+00:00,1556782684969525248,"Kullar var bir ömür yüzü gülmemiş
Kullar var mutluluk nedir bilmemiş
Allahım her derdi onlara vermiş
Feleğe zalimler anlatılmamış https://t.co/WjyIsFb9jH",winstonUlas,,,,tr
19,2022-08-08 23:20:20+00:00,1556782390701334528,Birden mutluluk  düştü kalbime   bu gece de mutluluktan uyuyamam.,esinti_35,,,,tr
20,2022-08-08 23:18:39+00:00,1556781968435675137,""" Mutluluk Haddini ,

    Aşmaya Başladı .. 🥀 """,azad_by_,,,,tr
21,2022-08-08 23:17:25+00:00,1556781659281915904,8 agutos dogum günüm yeni yaşım hoş geldin saglık mutluluk huzur para getir lütfennnn aileme ve sevdigim iki arkadaşım var onlara da tabiiki,amazonbeeee,,,,tr
22,2022-08-08 23:15:58+00:00,1556781291613392897,Kaç para ulan mutluluk,yasininyeri97,,,,tr
23,2022-08-08 23:15:28+00:00,1556781167914926080,Konuşunca gelen mutluluk hissi,kadirersemm,,,,tr
24,2022-08-08 23:13:55+00:00,1556780778134159361,Mutluluk yok para yok sevgi yok anasının a... İşte o var,Yikik_patates,,,,tr
25,2022-08-08 23:13:45+00:00,1556780733297041417,gece geç saatlerde ognis fotoğrafı gelince gelen mutluluk :) #ognis https://t.co/41qZdo7euz,ognissshr,,,,tr
26,2022-08-08 23:11:39+00:00,1556780205192126464,YaşamkentBaşarı istediğini elde etmektir. Mutluluk elde ettiğini istemektir. Vip ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑ ᴬⁿᵏᵃʳᵃ Çᵃⁿᵏᵃʸᵃ ''bᴬyᵃⁿ womens https://t.co/btRw27AHDv,CihannurDikili2,,,,tr
27,2022-08-08 23:11:25+00:00,1556780149718323201,The sims oynamak mutluluk verir insana 🤗,Poliskaa1905,,,,tr
